420,9458
419.9,9702
419.8,9570
419.7,9702
419.6,9577
419.5,9614
419.4,9532
419.3,9703
419.2,9557
419.1,9654
419,9408
418.9,9401
418.8,9738
418.7,9474
418.6,9449
418.5,9506
418.4,9620
418.3,9552
418.2,9434
418.1,9676
418,9680
417.9,9380
417.8,9681
417.7,9578
417.6,9617
417.5,9676
417.4,9380
417.3,9726
417.2,9383
417.1,9395
417,9533
416.9,9514
416.8,9535
416.7,9474
416.6,9458
416.5,9547
416.4,9315
416.3,9463
416.2,9552
416.1,9484
416,9403
415.9,9286
415.8,9506
415.7,9452
415.6,9419
415.5,9365
415.4,9320
415.3,9467
415.2,9417
415.1,9167
415,9402
414.9,9375
414.8,9232
414.7,9441
414.6,9082
414.5,9492
414.4,9276
414.3,9144
414.2,9314
414.1,9292
414,9415
413.9,9331
413.8,9189
413.7,9302
413.6,9215
413.5,9448
413.4,9392
413.3,9261
413.2,9490
413.1,9281
413,9348
412.9,9302
412.8,9215
412.7,9207
412.6,9252
412.5,9252
412.4,9087
412.3,9245
412.2,9317
412.1,9319
412,9389
411.9,9256
411.8,9192
411.7,9292
411.6,9242
411.5,9274
411.4,9148
411.3,9326
411.2,9394
411.1,9378
411,9379
410.9,9286
410.8,9136
410.7,9339
410.6,9455
410.5,9282
410.4,9309
410.3,9509
410.2,9592
410.1,9368
410,9603
409.9,9304
409.8,9387
409.7,9389
409.6,9575
409.5,9485
409.4,9271
409.3,9360
409.2,9617
409.1,9377
409,9449
408.9,9507
408.8,9531
408.7,9501
408.6,9548
408.5,9518
408.4,9623
408.3,9647
408.2,9814
408.1,9831
408,9708
407.9,9707
407.8,9646
407.7,9844
407.6,9925
407.5,9764
407.4,9622
407.3,9623
407.2,9700
407.1,9903
407,9580
406.9,9778
406.8,9645
406.7,9588
406.6,9748
406.5,9591
406.4,9553
406.3,9581
406.2,9580
406.1,9474
406,9616
405.9,9562
405.8,9453
405.7,9461
405.6,9453
405.5,9406
405.4,9336
405.3,9236
405.2,9277
405.1,9041
405,9306
404.9,9332
404.8,9206
404.7,9161
404.6,8953
404.5,8979
404.4,8962
404.3,9029
404.2,9064
404.1,8969
404,9076
403.9,9029
403.8,8983
403.7,8774
403.6,9015
403.5,9065
403.4,9041
403.3,8931
403.2,9132
403.1,9149
403,8863
402.9,8971
402.8,8944
402.7,9213
402.6,8996
402.5,8960
402.4,9112
402.3,9251
402.2,9176
402.1,9049
402,9189
401.9,9143
401.8,9331
401.7,9250
401.6,9186
401.5,9308
401.4,9111
401.3,9309
401.2,9530
401.1,9221
401,9430
400.9,9374
400.8,9476
400.7,9488
400.6,9562
400.5,9921
400.4,9705
400.3,9818
400.2,10022
400.1,10109
400,10408
399.9,10280
399.8,10465
399.7,10689
399.6,10847
399.5,10902
399.4,11264
399.3,11714
399.2,11789
399.1,11823
399,12225
398.9,12772
398.8,12738
398.7,13309
398.6,13446
398.5,13738
398.4,14148
398.3,14078
398.2,14877
398.1,15056
398,15190
397.9,15330
397.8,15356
397.7,15446
397.6,15191
397.5,15402
397.4,15030
397.3,14872
397.2,14655
397.1,14459
397,14081
396.9,13661
396.8,13633
396.7,13397
396.6,13176
396.5,12901
396.4,12729
396.3,12643
396.2,12508
396.1,12300
396,12242
395.9,12066
395.8,12182
395.7,11935
395.6,11940
395.5,12183
395.4,11742
395.3,11744
395.2,11843
395.1,11817
395,11652
394.9,11632
394.8,11572
394.7,11501
394.6,11441
394.5,11440
394.4,11209
394.3,11063
394.2,11184
394.1,11053
394,10951
393.9,11017
393.8,10854
393.7,11102
393.6,11137
393.5,11202
393.4,11131
393.3,11341
393.2,11243
393.1,11524
393,11700
392.9,12025
392.8,12339
392.7,12720
392.6,13456
392.5,13733
392.4,14617
392.3,15203
392.2,16400
392.1,17702
392,19250
391.9,20905
391.8,23234
391.7,25848
391.6,28573
391.5,31534
391.4,34747
391.3,38418
391.2,41284
391.1,43910
391,46077
390.9,46735
390.8,46897
390.7,46147
390.6,44266
390.5,41081
390.4,38109
390.3,34704
390.2,31400
390.1,28370
390,25271
389.9,23043
389.8,20528
389.7,18489
389.6,17094
389.5,15567
389.4,14574
389.3,13615
389.2,12835
389.1,12071
389,11542
388.9,11019
388.8,10616
388.7,10532
388.6,10083
388.5,10115
388.4,10310
388.3,10633
388.2,10637
388.1,11080
388,11249
387.9,11609
387.8,11858
387.7,12174
387.6,12731
387.5,12986
387.4,13416
387.3,13663
387.2,13835
387.1,13941
387,13999
386.9,14070
386.8,13636
386.7,13284
386.6,13249
386.5,12825
386.4,12574
386.3,12030
386.2,11566
386.1,11017
386,10993
385.9,10336
385.8,9792
385.7,9626
385.6,9231
385.5,9066
385.4,8799
385.3,8632
385.2,8461
385.1,8465
385,8310
384.9,8177
384.8,8197
384.7,8073
384.6,7940
384.5,8035
384.4,7892
384.3,7806
384.2,7873
384.1,7835
384,7860
383.9,7673
383.8,7562
383.7,7770
383.6,7683
383.5,7784
383.4,7872
383.3,7755
383.2,7813
383.1,7790
383,7866
382.9,7845
382.8,8006
